ID RSSD,Name of Bank,Average Assets (in Bn.) ,Net Income(in Mn.)
852218,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",1.912461,8.122
480228,"BANK OF AMERICA, NATIONAL ASSOCIATION",1.4413355,6.181
451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION",1.383287,9.707
476810,"CITIBANK, N.A.",1.35541,6.16
504713,U.S. BANK NATIONAL ASSOCIATION,0.365104722,2.71396
817824,"PNC BANK, NATIONAL ASSOCIATION",0.310123488,1.739124
541101,"BANK OF NEW YORK MELLON, THE",0.279604,0.749
112837,"CAPITAL ONE, NATIONAL ASSOCIATION",0.238177911,0.829243
35301,STATE STREET BANK AND TRUST COMPANY,0.220566003,0.913544
497404,"TD BANK, N.A.",0.2193515,0.633062
852320,BRANCH BANKING AND TRUST COMPANY,0.17949188,0.912348
413208,"HSBC BANK USA, NATIONAL ASSOCIATION",0.177401547,0.380285
675332,SUNTRUST BANK,0.173987454,0.717622
723112,FIFTH THIRD BANK,0.127213628,0.769183
233031,REGIONS BANK,0.116900645,0.661804
2182786,GOLDMAN SACHS BANK USA,0.1122105,0.644
1456501,"MORGAN STANLEY BANK, N.A.",0.110259,0.474
212465,"UNION BANK, NATIONAL ASSOCIATION",0.106858014,0.400861
210434,"NORTHERN TRUST COMPANY, THE",0.101405777,0.370181
3284070,ALLY BANK,0.099026144,0.547832
3303298,"CITIZENS BANK, NATIONAL ASSOCIATION",0.096326732,0.462237
75633,BMO HARRIS BANK NATIONAL ASSOCIATION,0.090797276,0.263239
280110,KEYBANK NATIONAL ASSOCIATION,0.087838516,0.447397
501105,MANUFACTURERS AND TRADERS TRUST COMPANY,0.087338229,0.531384
722777,"SANTANDER BANK, NATIONAL ASSOCIATION",0.074430092,0.15816
697633,COMPASS BANK,0.073887878,0.207446
804963,BANK OF THE WEST,0.067431006,0.247183
60143,COMERICA BANK,0.064715302,0.305235
12311,"HUNTINGTON NATIONAL BANK, THE",0.060585661,0.328186
214807,DEUTSCHE BANK TRUST COMPANY AMERICAS,0.0578865,0.182
3212149,UBS BANK USA,0.045546139,0.212358
4114567,FIRST REPUBLIC BANK,0.044126106,0.235536
517900,"FIRST NIAGARA BANK, NATIONAL ASSOCIATION",0.037835626,0.156354
2362458,"WELLS FARGO BANK SOUTH CENTRAL, NATIONAL ASSOCIATION",0.0306155,0.244
63069,CITY NATIONAL BANK,0.029486733,0.120065
802866,SILICON VALLEY BANK,0.028050798,0.129176
339858,"BOKF, NATIONAL ASSOCIATION",0.027119719,0.150952
940311,BANCO POPULAR DE PUERTO RICO,0.026997,0.116
197478,EAST WEST BANK,0.026628212,0.142161
395238,SYNOVUS BANK,0.026051619,0.112961
917742,"ASSOCIATED BANK, NATIONAL ASSOCIATION",0.024377297,0.097268
67311,"FIRSTMERIT BANK, N.A.",0.024142817,0.122247
682563,FROST BANK,0.024113927,0.129917
485559,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,0.023558926,0.140554
2942690,SIGNATURE BANK,0.023240696,0.13849
601050,COMMERCE BANK,0.022337947,0.122185
2489805,"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION",0.0220335,0.05
3918898,"ONEWEST BANK, NATIONAL ASSOCIATION",0.021917601,0.060634
491224,FIRST-CITIZENS BANK & TRUST COMPANY,0.021625557,0.050303
761806,"WEBSTER BANK, NATIONAL ASSOCIATION",0.021072878,0.10699
664756,PROSPERITY BANK,0.02005038,0.146464
143662,UMPQUA BANK,0.020042713,0.039385
463735,WHITNEY BANK,0.018916729,0.094235
266271,TCF NATIONAL BANK,0.018825442,0.098786
682611,SUSQUEHANNA BANK,0.018331844,0.085415
276579,ZIONS FIRST NATIONAL BANK,0.017974298,0.103823
2017570,GE CAPITAL BANK,0.017941991,0.103426
980661,FIRST HAWAIIAN BANK,0.017232316,0.109116
2950677,CIT BANK,0.01690147,0.074436
934329,"BNY MELLON, NATIONAL ASSOCIATION",0.0168856,0.091723
229801,VALLEY NATIONAL BANK,0.016251401,0.065928
2121196,"TD BANK USA, NATIONAL ASSOCIATION",0.016163116,0.063524
527954,FIRST NATIONAL BANK OF OMAHA,0.016008882,0.066401
936855,"UMB BANK, NATIONAL ASSOCIATION",0.015800087,0.047959
3938186,"BANKUNITED, NATIONAL ASSOCIATION",0.015571489,0.104676
688079,"WELLS FARGO BANK NORTHWEST, NATIONAL ASSOCIATION",0.014738,0.288
494261,PACIFIC WESTERN BANK,0.014686208,0.042214
311845,ARVEST BANK,0.014608163,0.056644
656377,"WASHINGTON FEDERAL, NATIONAL ASSOCIATION",0.014483829,0.0769
379920,FIRST NATIONAL BANK OF PENNSYLVANIA,0.014174649,0.065064
1842065,"PRIVATEBANK AND TRUST COMPANY, THE",0.014158327,0.086615
795968,BANK OF HAWAII,0.0141573,0.077542
877369,"RABOBANK, NATIONAL ASSOCIATION",0.014073,0.026
808176,IBERIABANK,0.013636265,0.043147
288853,FIRSTBANK,0.013628468,0.088981
676656,"AMEGY BANK, NATIONAL ASSOCIATION",0.013515625,0.046491
606046,BANCORPSOUTH BANK,0.012982197,0.061329
510871,FIRSTBANK PUERTO RICO,0.012747137,0.041634
342634,TRUSTMARK NATIONAL BANK,0.011941751,0.062752
2618780,"TEXAS CAPITAL BANK, NATIONAL ASSOCIATION",0.011884254,0.060725
2193616,"RAYMOND JAMES BANK, NATIONAL ASSOCIATION",0.011878697,0.079793
3394278,SALLIE MAE BANK,0.010978374,0.099242
837260,CALIFORNIA BANK & TRUST,0.010941,0.048708
595869,CATHAY BANK,0.010816074,0.063869
1001152,INTERNATIONAL BANK OF COMMERCE,0.009964536,0.063603
2850722,BMW BANK OF NORTH AMERICA,0.009890042,0.067674
320119,ISRAEL DISCOUNT BANK OF NEW YORK,0.009691591,0.01531
208244,OLD NATIONAL BANK,0.009606839,0.045037
474919,"FULTON BANK, NATIONAL ASSOCIATION",0.009508046,0.055338
656733,"MB FINANCIAL BANK, NATIONAL ASSOCIATION",0.009438274,0.045199
3138146,WESTERN ALLIANCE BANK,0.009349915,0.0717
131650,GREAT WESTERN BANK,0.009205859,0.049743
2736291,BANCO POPULAR NORTH AMERICA,0.008660555,-0.096289
802110,NATIONAL PENN BANK,0.008470676,0.050194
637451,PLAINSCAPITAL BANK,0.008427498,0.058818
93721,"FIRST CITIZENS BANK AND TRUST COMPANY, INC.",0.008409968,0.033469
1007846,FIRST MIDWEST BANK,0.00821711,0.04244
671576,DORAL BANK,0.007959727,-0.079075
540926,SOUTH STATE BANK,0.007946403,0.038697
3812165,"JPMORGAN BANK AND TRUST COMPANY, NATIONAL ASSOCIATION",0.007883194,0.072301
245276,ORIENTAL BANK,0.007809364,0.044665
2634191,GLACIER BANK,0.007760145,0.058046
702117,"NBT BANK, NATIONAL ASSOCIATION",0.007623248,0.044532
659855,FIRST INTERSTATE BANK,0.007497359,0.047575
1017939,UNITED COMMUNITY BANK,0.007373242,0.036821
202907,"COMMUNITY BANK, NATIONAL ASSOCIATION",0.007326087,0.043689
2078290,COLUMBIA STATE BANK,0.007184637,0.041523
83638,MERCANTIL COMMERCEBANK NATIONAL ASSOCIATION,0.006957168,0.012558
933966,CITIZENS BUSINESS BANK,0.006900473,0.056016
125471,STERLING NATIONAL BANK,0.006861653,0.02921
456045,CENTENNIAL BANK,0.006749103,0.057522
4262534,"CADENCE BANK, N.A.",0.006746075,0.023557
671464,BBCN BANK,0.006681145,0.046503
489623,"PARK NATIONAL BANK, THE",0.006663059,0.041796
4160667,"CAPITAL BANK, NATIONAL ASSOCIATION",0.00654537,0.028341
165628,"FIRST FINANCIAL BANK, NATIONAL ASSOCIATION",0.006443538,0.03376
693224,UNION FIRST MARKET BANK,0.006378204,0.027582
1386251,BANCFIRST,0.006324981,0.029083
365325,UNITED BANK,0.006315735,0.039357
918918,SAFRA NATIONAL BANK OF NEW YORK,0.006300194,0.01135
816210,BANCO SANTANDER PUERTO RICO,0.006283843,0.022725
964700,BOSTON PRIVATE BANK & TRUST COMPANY,0.006262392,0.034108
542649,CHEMICAL BANK,0.006218011,0.031777
613008,ROCKLAND TRUST COMPANY,0.006208876,0.029549
42420,FIRST COMMONWEALTH BANK,0.006186937,0.026333
645625,"WESBANCO BANK, INC.",0.006186078,0.03616
3284397,BEAL BANK USA,0.005894112,0.235068
749242,RENASANT BANK,0.0058771,0.029855
169653,FIRST BANK,0.005823643,0.01677
412135,COLE TAYLOR BANK,0.005631244,0.022171
107244,BANK OF THE OZARKS,0.005629485,0.054936
229913,MIZUHO BANK (USA),0.005601193,0.012363
2925666,PINNACLE BANK,0.005576078,0.035353
17147,"FIRST MERCHANTS BANK, NATIONAL ASSOCIATION",0.005432012,0.031247
716413,SCOTIABANK DE PUERTO RICO,0.005386912,0.010986
871769,FARMERS AND MERCHANTS BANK OF LONG BEACH,0.005319328,0.030171
470050,"FIRST FINANCIAL BANK, NATIONAL ASSOCIATION",0.005202504,0.040892
101019,BANK LEUMI USA,0.005127127,0.011543
1010930,"UNITED BANK, INC.",0.005114985,0.027757
3076248,STIFEL BANK AND TRUST,0.005052817,0.029777
4041421,"FLORIDA COMMUNITY BANK, NATIONAL ASSOCIATION",0.004947383,0.014691
814430,CITY NATIONAL BANK OF FLORIDA,0.00494301,0.023354
4210227,"NBH BANK, NATIONAL ASSOCIATION",0.004886817,0.004522
697763,WESTAMERICA BANK,0.004857691,0.030846
959304,FLUSHING BANK,0.004792846,0.021936
2354985,CUSTOMERS BANK,0.004786919,0.020804
2797724,TOWNEBANK,0.004747732,0.022808
991340,1ST SOURCE BANK,0.004745624,0.030634
701062,CENTRAL PACIFIC BANK,0.00474088,0.020216
2858960,"BANCORP BANK, THE",0.004677079,0.000582
3476192,CARTER BANK & TRUST,0.004667068,0.015997
1004368,NATIONAL BANK OF ARIZONA,0.004648939,0.020235
936426,S & T BANK,0.004633911,0.030202
3545324,TALMER BANK AND TRUST,0.004474113,0.023275
673440,FIRST SECURITY BANK,0.004419561,0.049246
58971,WASHINGTON TRUST BANK,0.00439627,0.020875
352772,BANNER BANK,0.004251947,0.030147
557858,"INTRUST BANK, NATIONAL ASSOCIATION",0.004232773,0.022788
412751,WOODFOREST NATIONAL BANK,0.004129454,0.036957
506922,SANDY SPRING BANK,0.004128497,0.018305
53033,"SABADELL UNITED BANK, NATIONAL ASSOCIATION",0.004050709,0.015557
456960,NEVADA STATE BANK,0.00402862,0.008223
2047504,OPUS BANK,0.004016971,0.02353
39475,AMERICANWEST BANK,0.003898254,0.016158
58243,JOHNSON BANK,0.003874503,0.013681
200378,"BANC OF CALIFORNIA, NATIONAL ASSOCIATION",0.003865414,0.016099
913856,PINNACLE BANK,0.003819434,0.030555
353555,AMARILLO NATIONAL BANK,0.003813492,0.039088
2652092,EAGLEBANK,0.00377934,0.026041
661308,AMALGAMATED BANK,0.003770808,-0.004403
572374,GREAT SOUTHERN BANK,0.003718446,0.02065
1438589,NEW YORK COMMERCIAL BANK,0.003644256,0.018222
509811,"COMMUNITY TRUST BANK, INC.",0.003640742,0.021785
382667,WILSHIRE BANK,0.003617861,0.028956
377908,CENTURY BANK AND TRUST COMPANY,0.003586611,0.011368
3348888,SERVISFIRST BANK,0.003558667,0.023874
122854,INDEPENDENT BANK,0.00353109,0.013036
878898,"VIEWPOINT BANK, NATIONAL ASSOCIATION",0.003510741,0.017766
764030,AMERIS BANK,0.003500688,0.018508
663245,SIMMONS FIRST NATIONAL BANK OF PINE BLUFF,0.003479639,0.015046
316840,REPUBLIC BANK & TRUST COMPANY,0.003458476,0.019237
361167,SOUTHSIDE BANK,0.003452702,0.020457
416245,BUSEY BANK,0.003442572,0.01535
3445769,FIRST NBC BANK,0.003438418,0.026045
1011526,CITY NATIONAL BANK OF WEST VIRGINIA,0.003376303,0.026276
770367,COMMUNITY BANK,0.003374273,0.012852
1407932,FULTON BANK OF NEW JERSEY,0.003370595,0.012175
850036,FIRST AMERICAN BANK,0.003365747,0.014689
1908082,BANK OF NORTH CAROLINA,0.003339252,0.013812
687009,LAKELAND BANK,0.003333696,0.016073
782306,BROOKLINE BANK,0.003316202,0.0149
936462,MECHANICS BANK,0.003302166,0.007891
1929247,"CENTERSTATE BANK OF FLORIDA, NATIONAL ASSOCIATION",0.003288986,0.003455
663834,OCEAN BANK,0.003265552,0.013805
667757,COMMUNITY TRUST BANK,0.003259849,0.012805
874845,LAKE CITY BANK,0.00324196,0.021931
216922,FIRST BANK,0.003217367,0.013528
816603,"WASHINGTON TRUST COMPANY OF WESTERLY, THE",0.003182619,0.019504
114260,FIRST NATIONAL BANK ALASKA,0.003125772,0.01585
3202702,"OPTUM BANK, INC.",0.003114108,0.031419
2683014,CARDINAL BANK,0.003088852,0.01515
1190476,ENTERPRISE BANK & TRUST,0.003087355,0.015037
657365,HANMI BANK,0.002998985,0.023872
436711,"HUDSON VALLEY BANK, N.A.",0.002994244,0.00383
3967449,COMMUNITY & SOUTHERN BANK,0.002920223,0.001195
2265456,"WILMINGTON TRUST, NATIONAL ASSOCIATION",0.002815986,0.00616
